date,symbol,open,high,low,close,volume
2025-07-15,BAJFINANCE,919.0,930.6,918.0,928.4,3892075
2025-07-14,BAJFINANCE,932.0,932.0,911.3,918.85,6657978
2025-07-11,BAJFINANCE,938.7,947.15,931.55,933.5,4278038
2025-07-10,BAJFINANCE,943.0,951.7,942.25,947.65,5409906
2025-07-09,BAJFINANCE,926.5,946.0,924.0,940.6,5341529
2025-07-08,BAJFINANCE,918.8,929.5,918.8,927.65,3851432
2025-07-07,BAJFINANCE,925.0,929.3,918.1,924.65,3383973
2025-07-04,BAJFINANCE,922.0,940.7,919.0,925.3,10613046
2025-07-03,BAJFINANCE,922.0,924.5,905.2,910.15,7606558
2025-07-02,BAJFINANCE,933.0,939.85,914.0,923.0,9394493
2025-07-01,BAJFINANCE,932.5,941.8,928.0,936.65,5381327
2025-06-30,BAJFINANCE,956.0,956.0,934.0,936.5,6086081
2025-06-27,BAJFINANCE,950.0,959.5,936.0,947.0,21637194
2025-06-26,BAJFINANCE,930.0,953.5,928.5,951.5,11677790
2025-06-25,BAJFINANCE,918.0,930.0,916.0,928.0,6623799
2025-06-24,BAJFINANCE,920.0,936.0,914.5,916.5,11555634
2025-06-23,BAJFINANCE,899.0,918.0,890.5,915.5,5870597
2025-06-20,BAJFINANCE,897.0,907.5,886.0,905.0,14320241
2025-06-19,BAJFINANCE,919.0,922.5,894.0,900.5,6585940
2025-06-18,BAJFINANCE,927.0,932.5,915.0,919.0,5002923
2025-06-17,BAJFINANCE,941.5,943.5,917.5,923.0,6110175
2025-06-16,BAJFINANCE,956.0,956.0,925.0,938.0,7016290
2025-06-13,BAJFINANCE,915.0,936.5,914.5,933.0,10182020
2025-06-12,BAJFINANCE,945.0,953.5,935.5,937.0,12388330
2025-06-11,BAJFINANCE,949.0,957.0,940.5,942.5,11860810
2025-06-10,BAJFINANCE,970.0,970.0,948.5,950.0,9044040
2025-06-09,BAJFINANCE,955.0,979.0,940.5,961.0,23496010
2025-06-06,BAJFINANCE,894.5,943.5,887.5,937.0,19783860
2025-06-05,BAJFINANCE,898.5,898.5,887.0,893.5,7853320
2025-06-04,BAJFINANCE,897.5,904.0,896.5,898.5,5544930
2025-06-03,BAJFINANCE,910.5,913.0,897.0,898.0,9080270
2025-06-02,BAJFINANCE,913.0,916.5,904.0,912.0,6619630
2025-05-30,BAJFINANCE,917.0,920.5,912.0,918.0,15041740
2025-05-29,BAJFINANCE,925.0,928.0,916.0,920.5,7081750
2025-05-28,BAJFINANCE,924.5,929.5,914.0,927.0,6507400
2025-05-27,BAJFINANCE,927.0,929.0,914.5,917.0,7150000
2025-05-26,BAJFINANCE,925.5,933.5,925.0,927.0,5476790
2025-05-23,BAJFINANCE,914.0,928.5,911.0,924.5,4251690
