date,symbol,open,high,low,close,volume
2025-07-15,BPCL,347.65,350.5,346.15,348.05,6270256
2025-07-14,BPCL,345.85,348.2,342.85,344.4,5372218
2025-07-11,BPCL,351.8,352.65,343.3,344.85,4803470
2025-07-10,BPCL,351.8,352.85,348.05,350.95,6580919
2025-07-09,BPCL,355.6,356.35,347.65,348.5,8039090
2025-07-08,BPCL,350.0,358.65,348.7,355.6,12905482
2025-07-07,BPCL,345.8,351.55,343.45,350.5,8603937
2025-07-04,BPCL,334.0,347.7,331.9,346.2,13743465
2025-07-03,BPCL,333.0,335.55,330.55,331.5,5049883
2025-07-02,BPCL,333.7,334.95,328.8,331.8,3799017
2025-07-01,BPCL,331.55,335.5,330.9,332.05,3921773
2025-06-30,BPCL,334.0,337.7,330.35,331.95,5840638
2025-06-27,BPCL,330.0,334.2,327.4,333.0,9911738
2025-06-26,BPCL,318.85,331.0,318.85,329.75,15528180
2025-06-25,BPCL,322.5,323.0,316.6,319.6,6658747
2025-06-24,BPCL,325.5,327.8,317.0,319.25,11172373
2025-06-23,BPCL,310.0,315.5,308.2,313.45,6848410
2025-06-20,BPCL,310.9,315.9,310.0,313.5,8522458
2025-06-19,BPCL,317.0,317.0,310.1,313.45,5399948
2025-06-18,BPCL,312.0,316.85,309.7,315.85,10011198
2025-06-17,BPCL,314.0,320.45,311.7,312.8,7219608
2025-06-16,BPCL,309.95,316.85,308.5,316.4,6893567
2025-06-13,BPCL,305.0,314.4,299.3,312.3,13958229
2025-06-12,BPCL,330.5,331.0,317.75,318.65,13568848
2025-06-11,BPCL,320.3,334.5,320.3,333.85,21739121
2025-06-10,BPCL,321.2,324.7,319.4,320.1,6489933
2025-06-09,BPCL,317.8,321.45,315.0,320.4,3787426
2025-06-06,BPCL,309.0,317.85,309.0,316.7,5825337
2025-06-05,BPCL,311.1,315.4,308.25,309.8,5900170
2025-06-04,BPCL,309.75,312.65,308.6,311.55,5925942
2025-06-03,BPCL,315.05,320.95,309.0,309.75,7853488
2025-06-02,BPCL,318.4,319.5,315.65,316.6,3086437
2025-05-30,BPCL,317.55,322.4,317.0,318.4,9148638
2025-05-29,BPCL,321.2,322.55,317.6,319.15,4000772
2025-05-28,BPCL,317.0,322.6,313.75,321.7,7112876
2025-05-27,BPCL,322.9,322.9,315.5,317.0,4716473
2025-05-26,BPCL,319.0,323.95,319.0,322.95,5050848
2025-05-23,BPCL,312.0,320.0,312.0,318.9,4257721
2025-05-22,BPCL,314.9,318.9,308.7,313.05,4876801
2025-05-21,BPCL,312.3,316.75,309.35,315.85,5232094
2025-05-20,BPCL,317.0,319.65,311.75,312.9,5016433
2025-05-19,BPCL,318.55,319.55,316.15,317.2,2956007
2025-05-16,BPCL,316.0,321.0,315.8,320.1,6861786
2025-05-15,BPCL,314.0,320.2,313.5,317.0,7055032
2025-05-14,BPCL,308.7,313.55,308.4,312.5,7733320
2025-05-13,BPCL,309.05,310.6,304.5,306.9,7241358
2025-05-12,BPCL,315.0,315.95,307.15,309.05,6844271
2025-05-09,BPCL,302.55,307.35,301.35,306.85,4955934
2025-05-08,BPCL,315.5,320.2,305.7,307.95,5918739
2025-05-07,BPCL,307.0,317.5,307.0,316.9,7970668
2025-05-06,BPCL,321.1,322.2,310.55,311.45,5444873
2025-05-05,BPCL,317.0,325.85,316.0,321.05,16037327
2025-05-02,BPCL,310.55,317.5,309.9,311.15,7751559
2025-04-30,BPCL,319.0,322.45,309.0,310.05,21424437
2025-04-29,BPCL,311.55,315.6,309.8,311.7,9522966
2025-04-28,BPCL,293.1,310.95,293.1,310.0,14414879
2025-04-25,BPCL,302.35,304.95,293.3,295.7,7773037
2025-04-24,BPCL,302.95,305.5,300.3,302.0,5773985
2025-04-23,BPCL,306.1,306.65,298.3,300.45,7400827
2025-04-22,BPCL,305.0,308.5,302.65,306.1,7096150
2025-04-21,BPCL,299.85,305.55,298.0,304.05,6455955
2025-04-17,BPCL,298.0,301.75,295.45,298.35,7510897
2025-04-16,BPCL,294.0,300.55,292.55,298.75,9064723
2025-04-15,BPCL,296.8,296.8,291.1,294.4,8516322
2025-04-11,BPCL,296.45,296.45,286.5,293.2,14955235
2025-04-09,BPCL,288.7,290.65,279.6,287.95,14519066
2025-04-08,BPCL,279.5,287.5,275.1,285.9,18994276
2025-04-07,BPCL,262.0,279.1,262.0,273.7,15010047
2025-04-04,BPCL,292.15,295.7,277.05,279.45,18852567
2025-04-03,BPCL,283.0,291.4,283.0,286.8,6663148
2025-04-02,BPCL,283.05,288.05,277.7,286.8,12058406
2025-04-01,BPCL,275.0,287.0,275.0,284.6,20780255
2025-03-28,BPCL,276.99,284.33,276.3,278.47,12687883
