date,symbol,open,high,low,close,volume
2025-07-15,HEROMOTOCO,4275.8,4465.0,4260.1,4454.0,1756329
2025-07-14,HEROMOTOCO,4219.0,4259.0,4197.2,4251.7,293675
2025-07-11,HEROMOTOCO,4300.1,4340.0,4190.0,4218.7,556464
2025-07-10,HEROMOTOCO,4330.1,4348.9,4310.0,4321.3,368728
2025-07-09,HEROMOTOCO,4300.0,4344.0,4290.2,4333.1,276485
2025-07-08,HEROMOTOCO,4305.1,4329.0,4240.0,4300.4,467771
2025-07-07,HEROMOTOCO,4340.0,4359.6,4293.0,4307.0,353771
2025-07-04,HEROMOTOCO,4325.0,4374.7,4307.1,4345.0,437195
2025-07-03,HEROMOTOCO,4244.0,4350.0,4238.0,4310.6,650625
2025-07-02,HEROMOTOCO,4284.4,4324.6,4230.1,4243.7,808159
2025-07-01,HEROMOTOCO,4258.3,4264.0,4190.1,4226.0,480538
2025-06-30,HEROMOTOCO,4344.0,4344.0,4211.0,4237.1,871009
2025-06-27,HEROMOTOCO,4299.0,4349.9,4285.0,4320.3,543489
2025-06-26,HEROMOTOCO,4305.9,4324.9,4248.1,4278.0,795726
2025-06-25,HEROMOTOCO,4301.5,4357.9,4290.0,4300.8,412213
2025-06-24,HEROMOTOCO,4283.1,4330.0,4262.0,4292.5,469217
2025-06-23,HEROMOTOCO,4320.0,4324.7,4245.0,4253.1,580717
2025-06-20,HEROMOTOCO,4380.5,4382.4,4204.9,4338.5,1159015
2025-06-19,HEROMOTOCO,4374.9,4404.0,4350.3,4384.3,425692
2025-06-18,HEROMOTOCO,4352.0,4432.0,4350.0,4357.9,370443
2025-06-17,HEROMOTOCO,4369.0,4390.0,4333.8,4371.0,331648
2025-06-16,HEROMOTOCO,4316.0,4414.1,4312.5,4364.5,360242
2025-06-13,HEROMOTOCO,4266.1,4347.0,4251.4,4333.8,521000
2025-06-12,HEROMOTOCO,4410.3,4425.0,4340.0,4362.8,813687
2025-06-11,HEROMOTOCO,4375.0,4486.7,4365.9,4410.3,1241569
2025-06-10,HEROMOTOCO,4370.1,4392.0,4329.7,4379.0,469185
2025-06-09,HEROMOTOCO,4304.9,4360.0,4275.0,4349.4,495256
2025-06-06,HEROMOTOCO,4189.0,4296.9,4158.1,4268.0,551467
2025-06-05,HEROMOTOCO,4227.8,4227.8,4172.8,4178.9,394746
2025-06-04,HEROMOTOCO,4213.0,4240.7,4191.3,4200.6,353642
2025-06-03,HEROMOTOCO,4250.0,4280.5,4201.0,4208.6,417447
2025-06-02,HEROMOTOCO,4310.1,4318.7,4196.0,4232.3,771163
2025-05-30,HEROMOTOCO,4341.6,4380.0,4289.3,4309.3,914311
2025-05-29,HEROMOTOCO,4384.0,4384.0,4332.1,4356.6,369150
2025-05-28,HEROMOTOCO,4368.0,4383.4,4310.5,4362.2,424160
2025-05-27,HEROMOTOCO,4370.5,4374.9,4300.0,4338.2,411809
2025-05-26,HEROMOTOCO,4309.9,4418.3,4300.0,4359.4,765160
2025-05-23,HEROMOTOCO,4288.9,4335.0,4276.4,4308.8,461297
2025-05-22,HEROMOTOCO,4250.0,4284.0,4202.9,4276.3,394809
2025-05-21,HEROMOTOCO,4241.0,4288.9,4212.0,4263.8,396931
2025-05-20,HEROMOTOCO,4409.0,4437.2,4231.4,4241.6,842529
2025-05-19,HEROMOTOCO,4323.1,4454.6,4323.1,4387.7,753807
2025-05-16,HEROMOTOCO,4330.0,4363.0,4294.3,4345.3,765257
