date,symbol,open,high,low,close,volume
2025-07-15,NESTLEIND,2392.9,2420.0,2380.1,2416.3,532304
2025-07-14,NESTLEIND,2405.3,2414.7,2377.0,2392.9,471457
2025-07-11,NESTLEIND,2404.0,2428.7,2397.1,2403.5,370532
2025-07-10,NESTLEIND,2425.0,2436.9,2397.6,2401.4,284925
2025-07-09,NESTLEIND,2420.0,2436.5,2414.5,2427.8,395180
2025-07-08,NESTLEIND,2422.1,2435.7,2407.0,2417.9,355788
2025-07-07,NESTLEIND,2399.4,2426.0,2388.0,2422.1,434207
2025-07-04,NESTLEIND,2384.9,2397.0,2367.1,2392.8,395057
2025-07-03,NESTLEIND,2399.9,2409.1,2385.0,2388.4,631819
2025-07-02,NESTLEIND,2410.5,2413.9,2380.0,2388.0,737526
2025-07-01,NESTLEIND,2470.0,2471.4,2405.2,2410.1,538610
2025-06-30,NESTLEIND,2468.0,2475.6,2443.0,2465.3,829005
2025-06-27,NESTLEIND,2449.0,2463.7,2426.1,2458.7,1187836
2025-06-26,NESTLEIND,2420.0,2443.6,2403.2,2431.4,1557549
2025-06-25,NESTLEIND,2372.0,2428.9,2372.0,2404.4,1150144
2025-06-24,NESTLEIND,2375.0,2383.6,2357.7,2365.8,550430
2025-06-23,NESTLEIND,2373.0,2398.9,2350.9,2359.1,648872
2025-06-20,NESTLEIND,2338.1,2398.0,2318.9,2360.4,11470597
2025-06-19,NESTLEIND,2340.8,2340.8,2310.0,2318.9,737387
2025-06-18,NESTLEIND,2363.9,2364.1,2325.4,2340.8,654277
2025-06-17,NESTLEIND,2380.1,2386.9,2353.0,2362.0,765534
2025-06-16,NESTLEIND,2370.1,2395.0,2365.1,2389.8,266154
2025-06-13,NESTLEIND,2362.0,2380.0,2346.8,2376.8,414878
2025-06-12,NESTLEIND,2427.0,2428.1,2366.3,2385.6,1358579
2025-06-11,NESTLEIND,2442.5,2450.0,2408.0,2419.2,875687
2025-06-10,NESTLEIND,2415.3,2438.9,2408.9,2431.4,675781
2025-06-09,NESTLEIND,2425.0,2427.3,2401.0,2415.3,339437
2025-06-06,NESTLEIND,2403.9,2422.9,2390.0,2417.2,502303
2025-06-05,NESTLEIND,2405.0,2409.0,2380.5,2401.3,733958
2025-06-04,NESTLEIND,2388.4,2403.8,2384.9,2397.5,587041
2025-06-03,NESTLEIND,2415.7,2426.4,2382.0,2391.4,734444
2025-06-02,NESTLEIND,2400.0,2415.8,2391.0,2406.3,1026359
2025-05-30,NESTLEIND,2435.0,2457.0,2390.5,2396.2,1067460
2025-05-29,NESTLEIND,2421.4,2439.8,2406.5,2435.0,931298
2025-05-28,NESTLEIND,2452.1,2456.7,2416.0,2419.0,723621
2025-05-27,NESTLEIND,2450.1,2482.0,2432.2,2460.9,792049
2025-05-26,NESTLEIND,2414.4,2464.9,2405.4,2454.0,624354
2025-05-23,NESTLEIND,2356.0,2424.0,2352.1,2414.4,577230
2025-05-22,NESTLEIND,2385.0,2385.0,2340.0,2361.7,1080806
2025-05-21,NESTLEIND,2358.5,2398.0,2358.5,2392.6,675148
2025-05-20,NESTLEIND,2419.8,2419.8,2354.3,2358.5,777675
2025-05-19,NESTLEIND,2404.0,2422.1,2396.2,2407.8,422931
2025-05-16,NESTLEIND,2414.6,2414.6,2376.7,2408.8,684551
2025-05-15,NESTLEIND,2370.0,2414.9,2341.5,2398.1,964112
2025-05-14,NESTLEIND,2365.0,2379.2,2353.3,2370.4,601533
2025-05-13,NESTLEIND,2380.0,2389.8,2342.0,2370.2,1166776
2025-05-12,NESTLEIND,2359.8,2389.0,2346.0,2383.8,400750
2025-05-09,NESTLEIND,2302.0,2349.0,2291.7,2325.4,908229
2025-05-08,NESTLEIND,2328.0,2350.1,2315.1,2340.7,1346546
2025-05-07,NESTLEIND,2331.0,2356.0,2327.3,2338.4,676652
2025-05-06,NESTLEIND,2337.0,2374.2,2330.0,2356.5,871013
2025-05-05,NESTLEIND,2348.9,2352.0,2323.7,2328.2,913797
2025-05-02,NESTLEIND,2375.0,2384.8,2327.0,2337.7,859177
2025-04-30,NESTLEIND,2375.0,2406.4,2364.3,2388.2,1020431
2025-04-29,NESTLEIND,2406.0,2406.0,2359.2,2387.5,976060
2025-04-28,NESTLEIND,2400.0,2418.4,2386.0,2406.0,980526
2025-04-25,NESTLEIND,2426.9,2435.2,2387.3,2413.5,1128284
2025-04-24,NESTLEIND,2435.0,2515.0,2379.0,2433.2,2337238
2025-04-23,NESTLEIND,2419.3,2441.9,2400.0,2433.4,582556
2025-04-22,NESTLEIND,2405.0,2420.0,2390.0,2407.3,487954
2025-04-21,NESTLEIND,2401.0,2421.0,2390.5,2399.4,476565
2025-04-17,NESTLEIND,2372.0,2423.2,2358.6,2416.6,907921
2025-04-16,NESTLEIND,2347.0,2390.1,2347.0,2383.3,677212
2025-04-15,NESTLEIND,2381.4,2381.4,2345.6,2367.9,780874
2025-04-11,NESTLEIND,2345.7,2372.0,2322.05,2361.4,1118317
2025-04-09,NESTLEIND,2283.2,2362.6,2272.2,2344.85,1853374
2025-04-08,NESTLEIND,2255.0,2282.95,2231.25,2275.4,873508
2025-04-07,NESTLEIND,2160.0,2257.35,2160.0,2249.0,737285
2025-04-04,NESTLEIND,2234.0,2282.8,2217.25,2262.15,591735
2025-04-03,NESTLEIND,2198.05,2249.05,2195.0,2245.65,317858
2025-04-02,NESTLEIND,2230.0,2230.0,2148.0,2210.7,1300852
2025-04-01,NESTLEIND,2261.9,2287.85,2218.1,2234.0,1020055
2025-03-28,NESTLEIND,2243.05,2287.95,2243.05,2250.75,716151
2025-03-27,NESTLEIND,2240.2,2268.0,2225.25,2242.05,865586
2025-03-26,NESTLEIND,2254.9,2269.85,2240.1,2243.45,533469
2025-03-25,NESTLEIND,2260.0,2280.0,2230.2,2254.85,742142
2025-03-24,NESTLEIND,2273.1,2288.6,2260.05,2263.55,430951
2025-03-21,NESTLEIND,2240.9,2275.0,2231.95,2268.85,792637
2025-03-20,NESTLEIND,2204.0,2228.75,2181.15,2221.55,476874
2025-03-19,NESTLEIND,2206.5,2213.4,2180.15,2184.0,422543
2025-03-18,NESTLEIND,2178.0,2206.1,2170.0,2202.05,423776
2025-03-17,NESTLEIND,2175.55,2203.35,2156.0,2174.35,410005
2025-03-13,NESTLEIND,2202.1,2211.75,2184.1,2191.95,292170
2025-03-12,NESTLEIND,2249.0,2254.1,2191.65,2195.5,358589
2025-03-11,NESTLEIND,2240.8,2272.45,2233.75,2251.4,478555
2025-03-10,NESTLEIND,2239.2,2274.0,2155.1,2248.4,506580
2025-03-07,NESTLEIND,2201.0,2246.0,2191.25,2238.45,525606
2025-03-06,NESTLEIND,2187.0,2216.4,2170.3,2201.2,1257461
2025-03-05,NESTLEIND,2110.0,2209.35,2110.0,2197.0,846664
2025-03-04,NESTLEIND,2160.0,2164.1,2118.0,2146.5,1042522
2025-03-03,NESTLEIND,2188.25,2200.0,2150.8,2185.55,521775
2025-02-28,NESTLEIND,2261.0,2270.0,2185.0,2189.65,1843566
2025-02-27,NESTLEIND,2260.2,2281.8,2250.0,2278.2,751003
2025-02-25,NESTLEIND,2222.45,2256.4,2213.85,2250.4,642834
2025-02-24,NESTLEIND,2199.0,2237.85,2196.05,2220.4,484042
2025-02-21,NESTLEIND,2216.95,2218.1,2189.3,2214.95,594245
2025-02-20,NESTLEIND,2204.95,2214.95,2186.8,2206.75,658467
2025-02-19,NESTLEIND,2206.0,2224.0,2197.55,2204.95,426479
2025-02-18,NESTLEIND,2216.5,2229.5,2199.95,2222.4,453059
2025-02-17,NESTLEIND,2195.85,2220.0,2170.0,2216.5,801515
2025-02-14,NESTLEIND,2177.55,2225.0,2170.05,2195.85,960861
2025-02-13,NESTLEIND,2193.75,2210.2,2172.65,2177.55,511147
2025-02-12,NESTLEIND,2214.0,2214.0,2171.7,2193.75,503258
2025-02-11,NESTLEIND,2221.05,2232.1,2177.95,2195.5,476837
2025-02-10,NESTLEIND,2235.0,2252.5,2206.2,2221.05,760181
2025-02-07,NESTLEIND,2234.0,2238.0,2207.55,2225.1,792558
2025-02-06,NESTLEIND,2269.0,2269.0,2227.0,2239.45,986957
2025-02-05,NESTLEIND,2283.8,2297.9,2225.25,2248.95,1475295
2025-02-04,NESTLEIND,2322.4,2322.8,2283.7,2299.45,1243517
2025-02-03,NESTLEIND,2327.2,2374.0,2311.7,2317.1,1140871
2025-02-01,NESTLEIND,2313.0,2374.0,2257.25,2330.0,1245059
2025-01-31,NESTLEIND,2217.35,2387.0,2209.5,2313.2,3139887
2025-01-30,NESTLEIND,2189.0,2232.7,2180.7,2217.35,574560
2025-01-29,NESTLEIND,2156.3,2184.9,2131.25,2180.7,397145
2025-01-28,NESTLEIND,2174.75,2181.85,2142.6,2156.3,721033
2025-01-27,NESTLEIND,2182.05,2231.9,2168.6,2174.75,549986
2025-01-24,NESTLEIND,2202.0,2222.75,2190.1,2207.9,663600
2025-01-23,NESTLEIND,2194.15,2209.6,2165.0,2198.95,496007
2025-01-22,NESTLEIND,2196.45,2212.95,2194.15,2207.8,448036
2025-01-21,NESTLEIND,2225.0,2240.0,2191.55,2196.45,764414
