date,symbol,open,high,low,close,volume
2025-07-15,POWERGRID,298.1,300.0,296.85,298.05,6173407
2025-07-14,POWERGRID,299.5,300.45,297.45,298.2,5484223
2025-07-11,POWERGRID,299.25,300.9,296.95,298.55,7073217
2025-07-10,POWERGRID,300.0,302.7,298.0,299.25,9307817
2025-07-09,POWERGRID,298.25,300.0,296.4,299.65,5650646
2025-07-08,POWERGRID,294.15,298.4,293.05,297.75,6254288
2025-07-07,POWERGRID,294.7,296.65,293.5,295.9,6220756
2025-07-04,POWERGRID,293.7,295.15,291.65,294.0,14193884
2025-07-03,POWERGRID,298.4,298.95,293.1,293.7,10373094
2025-07-02,POWERGRID,297.55,298.75,293.4,294.85,10826029
2025-07-01,POWERGRID,301.0,301.5,297.0,297.55,12349270
2025-06-30,POWERGRID,300.4,301.0,296.25,299.9,8415241
2025-06-27,POWERGRID,295.0,300.7,294.15,299.25,15523628
2025-06-26,POWERGRID,290.8,294.25,289.75,293.5,10232220
2025-06-25,POWERGRID,286.5,291.1,286.5,290.45,10838516
2025-06-24,POWERGRID,293.45,294.7,285.35,285.95,15007849
2025-06-23,POWERGRID,291.4,293.45,288.1,290.25,6833477
2025-06-20,POWERGRID,285.55,294.5,285.05,293.1,33014151
2025-06-19,POWERGRID,286.8,287.65,285.3,286.45,13573824
2025-06-18,POWERGRID,287.5,288.3,285.5,287.3,11904855
2025-06-17,POWERGRID,288.65,290.45,287.2,288.55,7286868
2025-06-16,POWERGRID,287.95,290.5,286.3,288.65,11067299
2025-06-13,POWERGRID,282.55,286.45,281.8,285.5,16028417
2025-06-12,POWERGRID,295.15,295.8,288.5,289.0,14071159
2025-06-11,POWERGRID,301.1,301.4,294.0,295.45,10941604
2025-06-10,POWERGRID,300.55,301.8,298.25,301.05,7273892
2025-06-09,POWERGRID,298.0,301.15,296.15,300.5,8666186
2025-06-06,POWERGRID,293.55,297.0,292.95,295.8,7935393
2025-06-05,POWERGRID,291.0,295.25,290.1,294.25,13110486
2025-06-04,POWERGRID,288.25,289.8,287.05,288.55,8580196
2025-06-03,POWERGRID,292.5,295.4,287.75,288.25,10989055
2025-06-02,POWERGRID,290.3,293.65,288.4,293.05,7255782
2025-05-30,POWERGRID,292.0,294.65,288.25,289.75,21788566
2025-05-29,POWERGRID,291.35,293.9,291.35,293.1,9773818
2025-05-28,POWERGRID,294.55,295.65,290.5,291.15,10099453
2025-05-27,POWERGRID,297.0,297.6,292.2,294.55,17074710
2025-05-26,POWERGRID,300.05,303.8,295.75,296.7,16469130
2025-05-23,POWERGRID,292.0,298.75,291.75,298.1,9872024
2025-05-22,POWERGRID,295.9,296.35,286.55,290.9,26158839
2025-05-21,POWERGRID,297.75,302.25,295.65,296.15,11997632
2025-05-20,POWERGRID,304.4,305.3,297.1,297.9,21339095
2025-05-19,POWERGRID,302.0,304.5,299.0,304.05,12575289
2025-05-16,POWERGRID,300.0,302.2,295.5,300.2,16763668
2025-05-15,POWERGRID,295.9,300.4,291.05,299.65,22640626
