date,symbol,open,high,low,close,volume
2025-07-15,SHRIRAMFIN,674.9,688.0,670.7,684.45,3786182
2025-07-14,SHRIRAMFIN,670.0,672.9,662.5,669.75,2832157
2025-07-11,SHRIRAMFIN,676.0,676.7,662.4,668.25,4931083
2025-07-10,SHRIRAMFIN,684.0,687.35,671.0,671.75,3035156
2025-07-09,SHRIRAMFIN,671.25,683.0,671.0,681.05,3560120
2025-07-08,SHRIRAMFIN,672.0,677.4,667.3,668.95,2820100
2025-07-07,SHRIRAMFIN,676.15,680.0,669.0,671.3,1770086
2025-07-04,SHRIRAMFIN,675.95,684.4,670.0,676.15,3843226
2025-07-03,SHRIRAMFIN,681.6,684.25,672.95,675.4,6014549
2025-07-02,SHRIRAMFIN,695.75,698.85,675.0,676.9,3288839
2025-07-01,SHRIRAMFIN,708.0,710.55,694.0,696.45,3524637
2025-06-30,SHRIRAMFIN,700.0,714.0,699.9,706.85,3721603
2025-06-27,SHRIRAMFIN,703.05,706.9,696.6,699.95,7554681
2025-06-26,SHRIRAMFIN,675.15,707.55,674.25,703.2,19068571
2025-06-25,SHRIRAMFIN,676.05,678.0,671.0,675.1,3211981
2025-06-24,SHRIRAMFIN,674.0,682.0,673.4,676.05,4823566
2025-06-23,SHRIRAMFIN,661.8,666.2,648.3,661.65,4243520
2025-06-20,SHRIRAMFIN,652.0,670.9,650.5,666.35,7441267
2025-06-19,SHRIRAMFIN,660.75,669.0,648.0,652.2,3342726
2025-06-18,SHRIRAMFIN,663.05,673.5,659.15,662.1,3352972
2025-06-17,SHRIRAMFIN,679.8,679.8,662.0,665.0,2390137
2025-06-16,SHRIRAMFIN,669.0,681.25,668.6,676.15,6882573
2025-06-13,SHRIRAMFIN,651.85,670.35,643.5,667.15,4687026
2025-06-12,SHRIRAMFIN,689.0,690.0,666.6,668.05,4970089
2025-06-11,SHRIRAMFIN,702.1,702.1,684.35,686.05,4586055
2025-06-10,SHRIRAMFIN,705.0,705.95,690.7,700.4,6453133
