date,symbol,open,high,low,close,volume
2025-07-15,TATACONSUM,1071.8,1085.0,1067.5,1081.8,538506
2025-07-14,TATACONSUM,1076.8,1083.5,1070.0,1071.8,770739
2025-07-11,TATACONSUM,1083.9,1101.8,1074.0,1076.8,983485
2025-07-10,TATACONSUM,1097.9,1103.7,1080.1,1088.9,533377
2025-07-09,TATACONSUM,1100.0,1107.4,1091.6,1097.9,752158
2025-07-08,TATACONSUM,1108.0,1108.6,1093.5,1099.9,605639
2025-07-07,TATACONSUM,1085.0,1108.2,1085.0,1101.9,1152136
2025-07-04,TATACONSUM,1091.0,1095.0,1082.0,1089.7,573351
2025-07-03,TATACONSUM,1096.0,1105.8,1086.7,1089.4,730322
2025-07-02,TATACONSUM,1094.0,1098.3,1084.0,1095.8,1230645
2025-07-01,TATACONSUM,1098.9,1100.7,1085.9,1095.6,971874
2025-06-30,TATACONSUM,1124.0,1126.7,1090.6,1098.9,1836286
2025-06-27,TATACONSUM,1144.0,1147.2,1120.0,1124.3,622376
2025-06-26,TATACONSUM,1122.0,1150.0,1119.1,1145.4,2236678
2025-06-25,TATACONSUM,1107.7,1133.9,1106.6,1126.5,1564437
2025-06-24,TATACONSUM,1112.0,1116.9,1104.4,1107.7,1134930
2025-06-23,TATACONSUM,1090.0,1112.0,1090.0,1109.4,758904
2025-06-20,TATACONSUM,1088.3,1103.0,1082.7,1100.2,2084108
2025-06-19,TATACONSUM,1065.2,1091.6,1061.6,1088.3,2816398
2025-06-18,TATACONSUM,1066.4,1075.8,1059.0,1065.2,545933
2025-06-17,TATACONSUM,1083.4,1094.0,1065.5,1071.6,664517
2025-06-16,TATACONSUM,1074.0,1085.0,1073.6,1083.4,439929
2025-06-13,TATACONSUM,1066.6,1080.6,1066.6,1078.4,614108
2025-06-12,TATACONSUM,1108.9,1108.9,1080.0,1085.1,941294
2025-06-11,TATACONSUM,1115.2,1119.0,1102.0,1104.3,862130
2025-06-10,TATACONSUM,1121.2,1128.6,1112.7,1115.1,460271
2025-06-09,TATACONSUM,1115.6,1122.5,1110.2,1121.2,467790
2025-06-06,TATACONSUM,1111.9,1123.9,1109.4,1115.6,503186
