date,symbol,open,high,low,close,volume
2025-07-15,TATASTEEL,160.26,160.85,157.95,159.0,17993051
2025-07-14,TATASTEEL,159.84,161.12,159.3,160.44,15152964
2025-07-11,TATASTEEL,160.64,161.62,159.32,159.84,20689511
2025-07-10,TATASTEEL,160.0,161.55,159.28,160.66,17566887
2025-07-09,TATASTEEL,161.95,161.95,157.51,159.0,29839077
2025-07-08,TATASTEEL,162.45,162.9,161.6,161.97,11398248
2025-07-07,TATASTEEL,163.0,163.35,160.05,162.4,17469909
2025-07-04,TATASTEEL,165.91,166.49,162.0,163.01,22938753
2025-07-03,TATASTEEL,166.0,168.78,165.21,165.91,60571824
2025-07-02,TATASTEEL,160.06,166.15,159.83,165.88,63315210
2025-07-01,TATASTEEL,160.01,160.44,157.73,160.06,17823415
2025-06-30,TATASTEEL,160.99,162.2,159.5,159.76,15842285
2025-06-27,TATASTEEL,161.0,163.3,160.7,161.45,31989509
2025-06-26,TATASTEEL,156.87,161.1,156.45,160.54,40650557
2025-06-25,TATASTEEL,155.9,156.9,155.51,156.39,18240433
2025-06-24,TATASTEEL,153.8,156.97,153.64,154.79,25403324
2025-06-23,TATASTEEL,150.5,153.3,150.48,152.43,17096676
2025-06-20,TATASTEEL,150.75,153.17,150.63,151.97,29944714
2025-06-19,TATASTEEL,152.0,152.45,150.5,151.0,20145922
2025-06-18,TATASTEEL,152.2,153.2,150.8,152.11,14860746
2025-06-17,TATASTEEL,153.81,154.89,152.35,152.6,16740382
2025-06-16,TATASTEEL,152.01,154.5,150.84,154.17,16188193
2025-06-13,TATASTEEL,149.8,152.5,149.8,152.13,24277592
2025-06-12,TATASTEEL,156.0,156.26,151.85,152.89,27846151
2025-06-11,TATASTEEL,156.45,157.53,155.31,156.41,17605668
2025-06-10,TATASTEEL,158.0,159.3,155.5,155.68,22764080
2025-06-09,TATASTEEL,157.69,158.2,156.82,157.32,15315437
2025-06-06,TATASTEEL,155.7,157.88,154.25,157.49,25804151
2025-06-05,TATASTEEL,158.86,159.09,157.05,157.97,23708504
2025-06-04,TATASTEEL,157.5,158.98,156.81,158.18,16660138
