date,symbol,open,high,low,close,volume
2025-07-15,WIPRO,254.0,259.85,252.8,257.4,8750149
2025-07-14,WIPRO,258.3,259.55,251.65,254.25,10388421
2025-07-11,WIPRO,261.0,262.05,257.75,258.3,13109857
2025-07-10,WIPRO,267.55,267.55,263.15,265.05,6911031
2025-07-09,WIPRO,268.0,269.4,264.85,267.8,11564433
2025-07-08,WIPRO,267.8,270.3,267.35,269.65,5519016
2025-07-07,WIPRO,270.05,270.55,267.3,267.75,4849218
2025-07-04,WIPRO,268.3,271.4,267.5,270.05,7141779
2025-07-03,WIPRO,268.4,270.85,266.45,267.05,9357962
2025-07-02,WIPRO,265.0,268.7,264.45,267.0,8750887
2025-07-01,WIPRO,265.5,268.35,263.7,264.55,3886095
2025-06-30,WIPRO,266.1,266.74,262.9,265.98,7119563
2025-06-27,WIPRO,269.0,270.0,264.5,265.05,8906108
2025-06-26,WIPRO,269.1,271.3,267.19,268.52,8564099
2025-06-25,WIPRO,265.9,269.96,265.85,269.41,5331739
2025-06-24,WIPRO,265.5,268.65,264.71,264.97,6319428
2025-06-23,WIPRO,264.0,265.2,261.81,263.24,6214062
2025-06-20,WIPRO,266.0,267.2,262.87,266.54,12904674
2025-06-19,WIPRO,262.85,266.44,261.81,265.58,14184486
2025-06-18,WIPRO,262.9,265.6,261.03,261.59,5016660
2025-06-17,WIPRO,262.89,265.45,261.66,262.91,7528454
2025-06-16,WIPRO,260.0,265.31,258.0,262.89,10935361
2025-06-13,WIPRO,255.0,262.25,254.0,260.21,8692116
2025-06-12,WIPRO,260.0,263.0,256.32,259.61,14528657
2025-06-11,WIPRO,256.02,261.6,254.1,258.92,17268454
2025-06-10,WIPRO,252.9,255.8,251.83,254.87,10739851
2025-06-09,WIPRO,249.6,253.4,249.22,251.29,9193904
2025-06-06,WIPRO,247.1,249.98,247.1,248.59,4445411
2025-06-05,WIPRO,246.9,249.49,246.88,247.94,6468060
2025-06-04,WIPRO,246.51,249.81,246.51,246.86,6698150
2025-06-03,WIPRO,248.0,249.5,245.73,246.22,8573438
2025-06-02,WIPRO,247.6,248.42,246.2,247.68,5846259
2025-05-30,WIPRO,250.0,251.11,248.52,249.67,13858429
2025-05-29,WIPRO,249.65,251.74,248.1,250.14,11785042
