date,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,LTIM,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO
2020-07-17,313.0,1499.2,1717.9,433.1,2995.0,636.15,330.0,556.3,211.4,3785.0,689.1,115.35,2263.4,823.75,1881.1,589.75,623.15,1098.45,614.5,2664.05,162.15,2334.55,353.8,520.8,903.15,194.05,206.75,1327.45,925.55,2264.0,588.8,5919.5,1723.0,88.3,74.6,88.3,911.1,875.2,188.2,137.65,503.6,423.0,106.4,35.1,2200.75,599.7,997.85,3862.85,436.45,130.7
2020-07-20,317.3,1485.1,1751.6,434.0,3002.55,662.0,344.0,565.15,208.15,3982.65,674.35,117.75,2298.75,818.4,1918.75,600.75,648.6,1133.05,616.45,2760.15,160.9,2330.95,363.0,528.75,934.3,192.7,206.8,1319.05,919.6,2249.7,594.0,5867.5,1724.7,87.15,74.55,88.45,915.0,854.45,190.75,138.15,483.8,423.1,105.05,35.25,2207.9,622.85,1001.7,3865.1,453.65,135.4
2020-07-21,314.7,1500.1,1724.25,446.2,3004.3,638.45,329.0,557.3,221.6,3880.4,662.3,117.85,2282.25,806.7,2011.65,600.7,652.35,1138.55,627.45,2769.15,160.0,2318.0,378.8,523.5,936.75,192.25,209.95,1359.0,938.05,2279.65,588.3,6130.85,1727.55,88.35,76.7,94.15,939.65,888.35,194.4,135.9,477.25,409.45,108.45,35.9,2225.05,620.7,1015.15,3863.3,458.4,135.7
2020-07-22,312.0,1481.15,1695.75,478.95,2985.4,634.75,325.5,558.65,214.8,3805.05,661.7,118.85,2261.75,812.3,1989.05,599.4,650.15,1126.35,609.65,2668.0,159.9,2248.5,381.1,513.55,917.9,196.55,207.0,1342.35,920.9,2330.65,592.0,6003.4,1715.2,90.35,76.85,97.5,955.1,859.2,192.0,139.0,474.3,407.0,105.15,35.0,2190.95,617.95,1057.7,3862.65,460.25,133.0
2020-07-23,313.9,1531.3,1727.8,460.85,3032.1,638.15,330.0,556.75,218.3,3827.6,671.45,118.2,2397.45,826.0,2088.25,595.9,652.85,1130.4,622.7,2671.2,162.0,2211.35,392.25,513.9,907.95,200.7,209.35,1374.05,916.55,2261.95,603.35,6065.95,1725.65,90.55,76.9,98.65,980.75,877.8,198.25,140.65,476.0,404.4,106.05,35.2,2171.2,632.45,1070.2,3837.9,462.75,133.3
2020-07-24,309.4,1512.05,1712.05,445.6,2985.5,627.05,325.0,549.15,213.7,3818.45,666.05,116.35,2349.1,813.2,2080.05,580.4,679.95,1119.1,622.4,2640.7,156.2,2209.3,381.8,522.25,922.85,199.6,205.0,1350.0,904.4,2274.4,598.7,6000.7,1725.2,89.4,75.25,98.8,1022.85,867.4,191.95,141.35,485.6,408.45,103.75,34.6,2157.4,652.6,1057.6,3782.5,454.15,135.3
2020-07-27,309.05,1508.35,1778.15,431.55,3020.5,617.3,317.0,549.2,218.35,3777.35,652.9,114.7,2361.9,803.15,2053.75,568.55,701.1,1079.5,633.45,2643.6,158.2,2221.5,358.5,506.65,948.45,196.4,206.95,1322.6,903.8,2427.0,594.4,6043.3,1735.0,87.65,75.05,98.2,1027.65,867.45,187.15,136.55,475.5,408.45,101.7,35.3,2206.8,664.55,1042.1,3860.1,445.8,134.4
2020-07-28,318.6,1599.2,1759.65,437.05,3119.35,634.3,324.0,554.2,220.25,3774.75,662.6,115.2,2341.55,810.25,2105.3,593.9,712.45,1086.65,640.5,2741.25,164.7,2242.55,352.1,526.95,962.85,195.4,214.9,1384.05,913.5,2415.7,620.35,6282.8,1709.55,88.55,74.15,98.8,1037.9,883.35,189.45,139.05,482.6,413.05,106.45,35.85,2309.75,684.35,1052.7,4136.35,448.95,137.7
2020-07-29,315.15,1641.3,1740.15,440.9,3099.3,632.85,328.5,555.75,216.4,3794.7,681.25,115.95,2423.65,860.45,2140.1,613.85,694.4,1064.6,637.75,2680.0,164.05,2231.3,351.05,550.5,954.15,196.7,217.55,1389.45,921.95,2400.45,604.85,6185.15,1659.8,88.15,73.75,98.65,999.3,881.1,191.2,144.9,493.0,427.7,105.75,37.35,2276.05,676.4,1040.45,4180.95,461.75,138.5
2020-07-30,312.5,1716.15,1743.35,425.85,3048.95,617.75,322.0,542.5,199.05,3805.95,685.95,113.35,2562.35,903.3,2120.15,600.55,695.45,1050.65,635.1,2603.95,162.0,2195.6,344.95,519.85,961.45,193.35,214.35,1385.0,908.25,2386.5,598.35,6265.4,1652.4,86.6,71.95,95.95,1005.1,913.55,186.55,136.7,509.95,424.9,103.65,36.65,2279.5,674.75,1041.85,4155.55,464.6,142.05
