date,symbol,open,high,low,close,volume
2020-07-17,ADANIPORTS,312.0,318.9,310.6,313.0,3264266
2020-07-17,APOLLOHOSP,1436.7,1507.0,1436.7,1499.2,1195304
2020-07-17,ASIANPAINT,1695.0,1742.5,1689.75,1717.9,2308827
2020-07-17,AXISBANK,434.0,439.9,424.6,433.1,33465094
2020-07-17,BAJAJ-AUTO,2950.0,3000.0,2925.0,2995.0,687105
2020-07-17,BAJAJFINSV,630.0,638.3,628.0,636.15,5700410
2020-07-17,BAJFINANCE,321.0,332.5,320.5,330.0,84256450
2020-07-17,BHARTIARTL,552.7,563.3,551.4,556.3,12189600
2020-07-17,BPCL,191.75,213.2,185.5,211.4,107684648
2020-07-17,BRITANNIA,3900.0,3938.0,3766.8,3785.0,4503046
2020-07-17,CIPLA,674.5,696.65,669.25,689.1,15244105
2020-07-17,COALINDIA,111.35,116.8,111.35,115.35,11331580
2020-07-17,DIVISLAB,2200.0,2274.55,2177.05,2263.4,1233698
2020-07-17,DRREDDY,828.2,831.6,820.0,823.75,3712880
2020-07-17,EICHERMOT,1871.0,1912.3,1865.15,1881.1,167217
2020-07-17,GRASIM,582.2,593.05,580.7,589.75,2180665
2020-07-17,HCLTECH,629.5,644.65,613.4,623.15,26830689
2020-07-17,HDFCBANK,1059.05,1104.0,1058.3,1098.45,14202933
2020-07-17,HDFCLIFE,600.8,616.0,600.05,614.5,2790704
2020-07-17,HEROMOTOCO,2615.3,2675.0,2603.0,2664.05,969122
2020-07-17,HINDALCO,166.5,169.1,161.15,162.15,14372019
2020-07-17,HINDUNILVR,2285.0,2340.0,2281.0,2334.55,3088773
2020-07-17,ICICIBANK,346.0,356.0,345.45,353.8,27511987
2020-07-17,INDUSINDBK,522.3,526.5,512.0,520.8,14445601
2020-07-17,INFY,911.0,919.9,892.15,903.15,31682904
2020-07-17,ITC,193.3,195.4,193.0,194.05,14882855
2020-07-17,JSWSTEEL,203.2,211.8,202.65,206.75,23873501
2020-07-17,KOTAKBANK,1317.0,1337.9,1301.1,1327.45,4200204
2020-07-17,LT,922.1,929.95,918.0,925.55,2040652
2020-07-17,LTIM,2308.0,2308.0,2216.0,2264.0,122822
2020-07-17,M&M,571.95,591.25,565.5,588.8,9124229
2020-07-17,MARUTI,5898.0,5956.0,5851.0,5919.5,810164
2020-07-17,NESTLEIND,1749.4,1762.0,1716.5,1723.0,1251380
2020-07-17,NTPC,87.2,88.65,87.0,88.3,12239669
2020-07-17,ONGC,70.55,74.9,70.55,74.6,24934073
2020-07-17,POWERGRID,87.4,88.6,87.4,88.3,13711943
2020-07-17,RELIANCE,879.3,915.1,876.0,911.1,48152622
2020-07-17,SBILIFE,868.15,881.85,862.55,875.2,1228862
2020-07-17,SBIN,186.8,189.5,185.0,188.2,47035751
2020-07-17,SHRIRAMFIN,135.8,139.2,135.3,137.65,15846410
2020-07-17,SUNPHARMA,499.6,509.55,497.35,503.6,9592498
2020-07-17,TATACONSUM,411.4,424.5,411.0,423.0,2740799
2020-07-17,TATAMOTORS,103.65,106.95,103.3,106.4,42080407
2020-07-17,TATASTEEL,34.6,35.7,34.5,35.1,244169750
2020-07-17,TCS,2237.0,2243.9,2190.05,2200.75,4509143
2020-07-17,TECHM,604.35,604.35,590.2,599.7,3307397
