date,portfolio_value,cash,positions_value,total_positions
2020-08-11,200000.0,200000.0,0.0,0
2020-08-12,200000.0,200000.0,0.0,0
2020-08-13,200000.0,170478.6,29521.399999999994,2
2020-08-14,199517.80000000002,141684.05000000002,57833.75,4
2020-08-15,141684.05000000002,141684.05000000002,0.0,4
2020-08-16,141684.05000000002,141684.05000000002,0.0,4
2020-08-17,199851.40000000002,127364.10000000002,72487.3,5
2020-08-18,200487.80000000002,112493.40000000002,87994.4,5
2020-08-19,200956.55000000005,112493.40000000002,88463.15000000002,5
2020-08-20,201018.35000000003,112493.40000000002,88524.95000000001,5
2020-08-21,201148.7,112493.40000000002,88655.29999999999,5
2020-08-22,112493.40000000002,112493.40000000002,0.0,5
2020-08-23,112493.40000000002,112493.40000000002,0.0,5
2020-08-24,201362.15000000002,113686.15000000002,87676.0,5
2020-08-25,201468.55000000002,113686.15000000002,87782.4,5
2020-08-26,201295.30000000002,99041.15000000002,102254.15,5
2020-08-27,201616.50000000003,99041.15000000002,102575.35,5
2020-08-28,202599.45000000004,99041.15000000002,103558.30000000002,5
2020-08-29,99041.15000000002,99041.15000000002,0.0,5
2020-08-30,99041.15000000002,99041.15000000002,0.0,5
2020-08-31,200337.85,99041.15000000002,101296.69999999998,5
2020-09-01,202478.45000000004,99041.15000000002,103437.30000000002,5
2020-09-02,203563.5,99041.15000000002,104522.34999999998,5
2020-09-03,202938.85000000003,99041.15000000002,103897.70000000001,5
2020-09-04,200798.25000000003,99041.15000000002,101757.1,5
2020-09-05,99041.15000000002,99041.15000000002,0.0,5
2020-09-06,99041.15000000002,99041.15000000002,0.0,5
2020-09-07,200209.40000000002,99041.15000000002,101168.25,5
2020-09-08,200473.40000000002,84374.15000000002,116099.25,5
2020-09-09,200188.80000000002,84374.15000000002,115814.65,5
2020-09-10,202199.25000000003,69728.15000000002,132471.1,5
2020-09-11,201996.35,54767.550000000025,147228.8,5
2020-09-12,54767.550000000025,54767.550000000025,0.0,5
2020-09-13,54767.550000000025,54767.550000000025,0.0,5
2020-09-14,199217.7,55758.55000000003,143459.14999999997,5
2020-09-15,200552.25000000006,40983.95000000003,159568.30000000002,5
2020-09-16,199900.75000000003,26325.600000000035,173575.15,5
2020-09-17,199228.30000000002,11750.950000000035,187477.34999999998,5
2020-09-18,202248.00000000006,11750.950000000035,190497.05000000002,5
2020-09-19,11750.950000000035,11750.950000000035,0.0,5
2020-09-20,11750.950000000035,11750.950000000035,0.0,5
2020-09-21,194552.35000000003,11750.950000000035,182801.4,5
2020-09-22,194175.65000000005,11750.950000000035,182424.7,5
2020-09-23,185286.40000000005,11750.950000000035,173535.45,5
2020-09-24,179782.95000000004,11750.950000000035,168032.0,5
2020-09-25,184558.25000000006,11750.950000000035,172807.30000000002,5
2020-09-26,11750.950000000035,11750.950000000035,0.0,5
2020-09-27,11750.950000000035,11750.950000000035,0.0,5
2020-09-28,186970.60000000003,11750.950000000035,175219.65,5
2020-09-29,184527.20000000004,11750.950000000035,172776.25,5
2020-09-30,178045.80000000005,11750.950000000035,166294.85,5
2020-10-01,181309.45000000004,11750.950000000035,169558.5,5
2020-10-02,11750.950000000035,11750.950000000035,0.0,5
2020-10-03,11750.950000000035,11750.950000000035,0.0,5
2020-10-04,11750.950000000035,11750.950000000035,0.0,5
2020-10-05,179908.1,11750.950000000035,168157.14999999997,5
2020-10-06,180334.75000000003,11750.950000000035,168583.8,5
2020-10-07,178132.90000000005,11750.950000000035,166381.95,5
2020-10-08,178279.00000000003,11750.950000000035,166528.05,5
2020-10-09,178554.00000000003,11750.950000000035,166803.05,5
2020-10-10,11750.950000000035,11750.950000000035,0.0,5
2020-10-11,11750.950000000035,11750.950000000035,0.0,5
2020-10-12,175164.20000000004,11750.950000000035,163413.25,5
2020-10-13,175118.65000000005,11750.950000000035,163367.7,5
2020-10-14,174266.75000000003,11750.950000000035,162515.8,5
2020-10-15,170098.25000000006,11750.950000000035,158347.30000000002,5
2020-10-16,171699.90000000005,11750.950000000035,159948.95,5
2020-10-17,11750.950000000035,11750.950000000035,0.0,5
2020-10-18,11750.950000000035,11750.950000000035,0.0,5
2020-10-19,171929.70000000007,11750.950000000035,160178.75000000003,5
2020-10-20,173333.05000000005,11750.950000000035,161582.1,5
2020-10-21,176845.90000000008,11750.950000000035,165094.95000000004,5
2020-10-22,179555.95,11750.950000000035,167804.99999999997,5
2020-10-23,180786.55000000005,11750.950000000035,169035.6,5
2020-10-24,11750.950000000035,11750.950000000035,0.0,5
2020-10-25,11750.950000000035,11750.950000000035,0.0,5
2020-10-26,180348.10000000006,11750.950000000035,168597.15000000002,5
2020-10-27,180429.25000000006,11750.950000000035,168678.30000000002,5
2020-10-28,184302.80000000005,11750.950000000035,172551.85,5
2020-10-29,183373.85000000003,11750.950000000035,171622.9,5
2020-10-30,180971.60000000003,11750.950000000035,169220.65,5
2020-10-31,11750.950000000035,11750.950000000035,0.0,5
2020-11-01,11750.950000000035,11750.950000000035,0.0,5
2020-11-02,186049.85000000006,11750.950000000035,174298.90000000002,5
2020-11-03,186507.50000000003,11750.950000000035,174756.55,5
2020-11-04,185678.50000000003,11750.950000000035,173927.55,5
2020-11-05,188878.45000000004,11750.950000000035,177127.5,5
2020-11-06,187000.00000000003,11750.950000000035,175249.05,5
2020-11-07,11750.950000000035,11750.950000000035,0.0,5
2020-11-08,11750.950000000035,11750.950000000035,0.0,5
2020-11-09,193351.45000000004,11750.950000000035,181600.5,5
2020-11-10,193817.40000000002,11750.950000000035,182066.44999999998,5
2020-11-11,198220.95000000004,11750.950000000035,186470.0,5
2020-11-12,198188.90000000005,11750.950000000035,186437.95,5
2020-11-13,197523.30000000005,11750.950000000035,185772.35,5
2020-11-14,200838.15000000002,12738.450000000033,188099.69999999998,5
2020-11-15,12738.450000000033,12738.450000000033,0.0,5
2020-11-16,12738.450000000033,12738.450000000033,0.0,5
2020-11-17,200705.40000000005,12738.450000000033,187966.95,5
2020-11-18,198236.20000000004,12738.450000000033,185497.75,5
2020-11-19,194901.10000000003,12738.450000000033,182162.65,5
2020-11-20,198313.90000000005,12738.450000000033,185575.45,5
2020-11-21,12738.450000000033,12738.450000000033,0.0,5
2020-11-22,12738.450000000033,12738.450000000033,0.0,5
2020-11-23,197696.50000000006,12738.450000000033,184958.05000000002,5
2020-11-24,196871.90000000002,12738.450000000033,184133.44999999998,5
2020-11-25,193812.05000000005,12738.450000000033,181073.6,5
2020-11-26,194852.50000000003,12738.450000000033,182114.05,5
2020-11-27,193368.80000000005,12738.450000000033,180630.35,5
2020-11-28,12738.450000000033,12738.450000000033,0.0,5
2020-11-29,12738.450000000033,12738.450000000033,0.0,5
2020-11-30,12738.450000000033,12738.450000000033,0.0,5
2020-12-01,198085.20000000004,12738.450000000033,185346.75,5
2020-12-02,200691.75000000006,12738.450000000033,187953.30000000002,5
2020-12-03,200508.65000000005,12738.450000000033,187770.2,5
2020-12-04,203822.7,12738.450000000033,191084.24999999997,5
2020-12-05,12738.450000000033,12738.450000000033,0.0,5
2020-12-06,12738.450000000033,12738.450000000033,0.0,5
2020-12-07,208027.55000000002,15546.750000000033,192480.8,5
2020-12-08,206345.05000000005,586.0500000000338,205759.0,5
2020-12-09,207092.15000000005,586.0500000000338,206506.1,5
2020-12-10,207824.20000000007,586.0500000000338,207238.15000000002,5
2020-12-11,207145.65000000005,586.0500000000338,206559.6,5
2020-12-12,586.0500000000338,586.0500000000338,0.0,5
2020-12-13,586.0500000000338,586.0500000000338,0.0,5
2020-12-14,208335.35000000003,586.0500000000338,207749.3,5
2020-12-15,207948.75000000003,586.0500000000338,207362.69999999998,5
2020-12-16,211228.15000000005,586.0500000000338,210642.1,5
2020-12-17,210693.20000000007,586.0500000000338,210107.15000000002,5
2020-12-18,209372.55000000005,586.0500000000338,208786.5,5
2020-12-19,586.0500000000338,586.0500000000338,0.0,5
2020-12-20,586.0500000000338,586.0500000000338,0.0,5
2020-12-21,200658.45000000007,586.0500000000338,200072.40000000002,5
2020-12-22,204039.05000000005,586.0500000000338,203453.0,5
2020-12-23,206522.65000000005,2268.100000000033,204254.55000000002,5
2020-12-24,210353.15000000002,2268.100000000033,208085.05,5
2020-12-25,2268.100000000033,2268.100000000033,0.0,5
2020-12-26,2268.100000000033,2268.100000000033,0.0,5
2020-12-27,2268.100000000033,2268.100000000033,0.0,5
2020-12-28,212912.75000000003,2268.100000000033,210644.65,5
2020-12-29,212832.10000000003,2268.100000000033,210564.0,5
2020-12-30,212196.20000000004,3933.100000000033,208263.1,5
2020-12-31,210497.70000000004,3933.100000000033,206564.6,5
2021-01-01,211594.75000000003,3933.100000000033,207661.65,5
2021-01-02,3933.100000000033,3933.100000000033,0.0,5
2021-01-03,3933.100000000033,3933.100000000033,0.0,5
2021-01-04,213735.65000000002,4707.650000000031,209028.0,5
2021-01-05,212833.1,4707.650000000031,208125.44999999998,5
2021-01-06,214923.25000000003,4707.650000000031,210215.6,5
2021-01-07,220085.60000000003,118886.45000000004,101199.15,5
2021-01-08,221695.75000000003,118886.45000000004,102809.29999999999,5
2021-01-09,118886.45000000004,118886.45000000004,0.0,5
2021-01-10,118886.45000000004,118886.45000000004,0.0,5
2021-01-11,222486.55000000005,118886.45000000004,103600.1,5
