stock,action,shares,price,date,cost,reason,proceeds,profit,profit_pct,exit_reason
BHARTIARTL,BUY,28,525.5,2020-08-13,14714.0,Dip Buy,,,,
BPCL,BUY,74,200.1,2020-08-13,14807.4,Dip Buy,,,,
HDFCLIFE,BUY,25,587.75,2020-08-14,14693.75,Dip Buy,,,,
EICHERMOT,BUY,7,2014.4,2020-08-14,14100.800000000001,Dip Buy,,,,
SBILIFE,BUY,17,842.35,2020-08-17,14319.95,Dip Buy,,,,
BPCL,BUY_AVG,78,190.65,2020-08-18,14870.7,Averaging Down,,,,
EICHERMOT,SELL,7,2176.45,2020-08-24,,,15235.149999999998,1134.3499999999967,8.044579030976942,8% Fixed Exit
LTIM,BUY,6,2340.4,2020-08-24,14042.400000000001,Dip Buy,,,,
BHARTIARTL,BUY_AVG,29,505.0,2020-08-26,14645.0,Averaging Down,,,,
BHARTIARTL,BUY_AVG,30,488.9,2020-09-08,14667.0,Averaging Down,,,,
BHARTIARTL,BUY_AVG,30,488.2,2020-09-10,14646.0,Averaging Down,,,,
BHARTIARTL,BUY_AVG,31,482.6,2020-09-11,14960.6,Averaging Down,,,,
LTIM,SELL,6,2651.7,2020-09-14,,,15910.199999999999,1867.7999999999975,13.301145103401108,8% Fixed Exit
COALINDIA,BUY,136,109.7,2020-09-14,14919.2,Dip Buy,,,,
BHARTIARTL,BUY_AVG,31,476.6,2020-09-15,14774.6,Averaging Down,,,,
BHARTIARTL,BUY_AVG,31,472.85,2020-09-16,14658.35,Averaging Down,,,,
BHARTIARTL,BUY_AVG,31,470.15,2020-09-17,14574.65,Averaging Down,,,,
HDFCLIFE,SELL,25,636.1,2020-11-14,,,15902.5,1208.75,8.226286686516376,8% Fixed Exit
CIPLA,BUY,20,745.75,2020-11-14,14915.0,Dip Buy,,,,
COALINDIA,SELL,136,121.55,2020-12-07,,,16530.8,1611.5999999999985,10.802187784867812,8% Fixed Exit
HDFCBANK,BUY,10,1372.25,2020-12-07,13722.5,Dip Buy,,,,
BPCL,BUY_AVG,81,184.7,2020-12-08,14960.699999999999,Averaging Down,,,,
CIPLA,SELL,20,824.65,2020-12-23,,,16493.0,1578.0,10.579953067381831,8% Fixed Exit
SHRIRAMFIN,BUY,77,192.35,2020-12-23,14810.949999999999,Dip Buy,,,,
SHRIRAMFIN,SELL,77,207.8,2020-12-30,,,16000.6,1189.6500000000015,8.032232908760083,8% Fixed Exit
BRITANNIA,BUY,4,3583.9,2020-12-30,14335.6,Dip Buy,,,,
SBILIFE,SELL,17,911.4,2021-01-04,,,15493.8,1173.8499999999985,8.19730515818839,8% Fixed Exit
HEROMOTOCO,BUY,5,2943.85,2021-01-04,14719.25,Dip Buy,,,,
BHARTIARTL,SELL,241,535.2,2021-01-07,,,128983.20000000001,11343.0,9.642112135137477,8% Fixed Exit
ITC,BUY,73,202.8,2021-01-07,14804.400000000001,Dip Buy,,,,
ITC,SELL,73,219.75,2021-01-18,,,16041.75,1237.3499999999985,8.357988165680464,8% Fixed Exit
BAJFINANCE,BUY,31,472.0,2021-01-18,14632.0,Dip Buy,,,,
HDFCBANK,SELL,10,1503.85,2021-01-19,,,15038.5,1316.0,9.590089269447986,8% Fixed Exit
DIVISLAB,BUY,4,3599.45,2021-01-19,14397.8,Dip Buy,,,,
BAJFINANCE,SELL,31,512.0,2021-01-21,,,15872.0,1240.0,8.47457627118644,8% Fixed Exit
KOTAKBANK,BUY,8,1857.8,2021-01-21,14862.4,Dip Buy,,,,
HEROMOTOCO,SELL,5,3274.9,2021-01-22,,,16374.5,1655.25,11.245477860624693,8% Fixed Exit
ONGC,BUY,172,87.0,2021-01-22,14964.0,Dip Buy,,,,
BPCL,BUY_AVG,81,183.15,2021-01-25,14835.15,Averaging Down,,,,
BPCL,BUY_AVG,83,179.8,2021-01-27,14923.400000000001,Averaging Down,,,,
KOTAKBANK,BUY_AVG,8,1722.85,2021-01-28,13782.8,Averaging Down,,,,
