date,portfolio_value,cash,position_value,sip_value,num_positions,num_sip_positions,total_trades,current_position_size,total_self_dividend
2020-08-06,400000.0,390000.0,10000.0,0.0,1,0,0,10000.0,0.0
2020-08-07,399955.4144430183,380000.0,19955.414443018308,0.0,2,0,0,10000.0,0.0
2020-08-10,400003.4442541932,370000.0,30003.444254193208,0.0,3,0,0,10000.0,0.0
2020-08-11,400529.4366594938,360000.0,40529.43665949375,0.0,4,0,0,10000.0,0.0
2020-08-12,400195.28002226655,350000.0,50195.28002226655,0.0,5,0,0,10000.0,0.0
2020-08-13,400179.7708222064,340000.0,60179.77082220637,0.0,6,0,0,10000.0,0.0
2020-08-14,399224.57997256407,330000.0,69224.57997256407,0.0,7,0,0,10000.0,0.0
2020-08-17,399406.435876959,330000.0,69406.43587695899,0.0,7,0,0,10000.0,0.0
2020-08-18,400075.4697985093,330000.0,70075.46979850934,0.0,7,0,0,10000.0,0.0
2020-08-19,400114.3931752146,320000.0,80114.3931752146,0.0,8,0,0,10000.0,0.0
2020-08-20,400043.1643780435,320000.0,80043.16437804353,0.0,8,0,0,10000.0,0.0
2020-08-21,400424.24671018706,310000.0,90424.24671018709,0.0,9,0,0,10000.0,0.0
2020-08-24,400501.68862083514,310496.98379396787,90004.70482686727,0.0,9,0,1,10029.234340821638,263.10906739474103
2020-08-25,400104.7488550294,310496.98379396787,89607.76506106155,0.0,9,0,1,10029.234340821638,263.10906739474103
2020-08-26,400175.8576361441,300467.74945314624,99708.10818299784,0.0,10,0,1,10029.234340821638,263.10906739474103
2020-08-27,400097.9534030123,290438.5151123246,109659.43829068769,0.0,11,0,1,10029.234340821638,263.10906739474103
2020-08-28,400140.1736510171,290869.3007614811,109270.87288953595,0.0,11,0,2,10051.140054630121,504.07191928804787
2020-08-31,398414.44626262353,280818.160706851,117596.28555577256,0.0,12,0,2,10051.140054630121,504.07191928804787
2020-09-01,399810.32764168316,270767.0206522209,129043.3069894623,0.0,13,0,2,10051.140054630121,504.07191928804787
2020-09-02,400618.76989741746,270767.0206522209,129851.74924519657,0.0,13,0,2,10051.140054630121,504.07191928804787
2020-09-03,400955.1996630833,270767.0206522209,130188.17901086246,0.0,13,0,2,10051.140054630121,504.07191928804787
2020-09-04,398548.46570153406,260715.88059759076,137832.58510394333,0.0,14,0,2,10051.140054630121,504.07191928804787
2020-09-07,399258.60715115664,250664.74054296064,148593.86660819603,0.0,15,0,2,10051.140054630121,504.07191928804787
2020-09-08,398496.2852448128,240613.60048833053,157882.68475648225,0.0,16,0,2,10051.140054630121,504.07191928804787
2020-09-09,397881.16008961166,230562.4604337004,167318.69965591124,0.0,17,0,2,10051.140054630121,504.07191928804787
2020-09-10,399439.409275449,220511.3203790703,178928.08889637873,0.0,18,0,2,10051.140054630121,504.07191928804787
2020-09-11,399584.9420859354,210460.18032444018,189124.76176149523,0.0,19,0,2,10051.140054630121,504.07191928804787
2020-09-14,398727.516993681,221778.39528893257,176949.12170474845,0.0,18,0,4,10086.773325751701,1166.3788666842274
2020-09-15,399778.3172930696,211691.62196318086,188086.69532988875,0.0,19,0,4,10086.773325751701,1166.3788666842274
2020-09-16,401044.88406554173,201604.84863742915,199440.03542811258,0.0,20,0,4,10086.773325751701,1166.3788666842274
2020-09-17,400166.34559242666,212723.03245910304,187443.31313332362,0.0,19,0,6,10116.952821152747,1754.7128472759068
2020-09-18,400452.94854548946,213222.77589060142,187230.17265488804,0.0,19,0,7,10132.238123801963,2045.1335976110186
2020-09-21,396062.82132494124,203090.53776679945,192972.28355814182,0.0,20,0,7,10132.238123801963,2045.1335976110186
2020-09-22,394169.3662516088,192958.29964299747,201211.06660861132,0.0,21,0,7,10132.238123801963,2045.1335976110186
2020-09-23,392193.7453269705,182826.0615191955,209367.68380777497,0.0,22,0,7,10132.238123801963,2045.1335976110186
2020-09-24,402017.715854666,180525.412358286,213660.7145334875,7831.588962892483,23,1,8,10132.238123801963,2045.1335976110186
2020-09-25,407524.1439308824,169726.50756781737,228918.7908191386,8878.84554392642,24,1,8,10132.238123801963,2045.1335976110186
2020-09-28,412783.07803128567,170205.6332702563,233618.35938945538,8959.085371573998,24,1,9,10142.432287683641,2289.793530771326
2020-09-29,410017.57140877796,170205.6332702563,231015.3898537209,8796.548284800696,24,1,9,10142.432287683641,2289.793530771326
2020-09-30,408725.34511625906,160063.20098257266,240160.83726599923,8501.306867687166,25,1,9,10142.432287683641,2289.793530771326
2020-10-01,413662.1793168913,181680.0713260261,223250.36879762597,8731.73919323919,23,1,11,10171.677518817904,3001.442531341164
2020-10-05,413477.97551677126,181680.0713260261,223225.6159370621,8572.2882536831,23,1,11,10171.677518817904,3001.442531341164
2020-10-06,414797.52594102826,193352.23391534932,212826.71156373766,8618.58046194132,22,1,13,10208.841015321306,3832.4386088865904
2020-10-07,413978.0766092938,203911.39607094933,201535.54091422423,8531.13962412024,21,1,14,10220.38697216153,4086.449659371524
2020-10-08,413220.36996042466,203911.39607094933,200736.68563579227,8572.2882536831,21,1,14,10220.38697216153,4086.449659371524
2020-10-09,413688.7651262708,204322.58805728806,200779.48679495268,8586.690274030103,21,1,15,10232.56601691027,4342.20959909505
2020-10-12,413304.96372803,214957.40563923845,189965.58224683665,8381.975841954867,20,1,16,10244.289476297574,4588.402246228433
2020-10-13,412843.49441054283,214957.40563923845,189498.96935065417,8387.119420650224,20,1,16,10244.289476297574,4588.402246228433
2020-10-14,429260.2502445424,233481.19962563305,179520.85253203305,16258.198086876302,19,2,18,10256.272690467667,4828.066529630286
2020-10-15,425421.7622275568,232814.5329589664,176126.1074106293,16481.121857961054,19,2,18,10256.272690467667,4828.066529630286
2020-10-16,426874.7542396221,232814.5329589664,177160.5599854604,16899.66129519529,19,2,18,10256.272690467667,4828.066529630286
2020-10-19,429212.9176578965,232814.5329589664,179397.13762394898,17001.247074981147,19,2,18,10256.272690467667,4828.066529630286
2020-10-20,428556.3492631782,232814.5329589664,178680.59203307514,17061.224271136693,19,2,18,10256.272690467667,4828.066529630286
2020-10-21,429668.9865728255,233284.33366895365,178869.72593084088,17514.926973030957,19,2,19,10272.32229253937,5133.008968992625
2020-10-22,431184.6695997134,243932.15860919302,169508.54669587305,17743.964294647343,18,2,20,10286.292611462703,5398.4450285359435
2020-10-23,432017.27842863183,233645.86599773032,180490.71463575176,17880.697795149783,19,2,20,10286.292611462703,5398.4450285359435
2020-10-26,431117.9067365873,233244.02416581384,179440.7960142139,18433.08655655953,19,2,21,10300.04365375745,5659.714832136152
2020-10-27,433113.112874756,233517.85313842894,181108.8702192707,18486.389517056363,19,2,22,10314.171561101839,5928.145071679562
2020-10-28,432854.0650369909,223203.6815773271,190848.43421561058,18801.949244053234,20,2,22,10314.171561101839,5928.145071679562
2020-10-29,430854.61784712,212889.51001622528,199284.57958468495,18680.528246209782,21,2,22,10314.171561101839,5928.145071679562
2020-10-30,431545.629816927,202575.33845512345,210315.21834736594,18655.07301443765,22,2,22,10314.171561101839,5928.145071679562
2020-11-02,431436.72160463507,192261.16689402162,220224.82963595135,18950.725074662085,23,2,22,10314.171561101839,5928.145071679562
2020-11-03,432734.1927356703,181946.9953329198,231776.4245893855,19010.772813365038,24,2,22,10314.171561101839,5928.145071679562
2020-11-04,433988.7701451437,181946.9953329198,233119.46575846136,18922.30905376254,24,2,22,10314.171561101839,5928.145071679562
2020-11-05,438879.66976869653,192900.75392910524,226482.1833485618,19496.732491029477,23,2,23,10327.496290999414,6247.938589221364
2020-11-06,439270.39914637466,192900.75392910524,227141.6197356016,19228.025481667824,23,2,23,10327.496290999414,6247.938589221364
2020-11-09,442807.9239326587,203837.26328647658,218900.7509831871,20069.909662994985,22,2,24,10341.02537352701,6559.10748735611
2020-11-10,443243.18096175935,225792.1242057234,197300.68187201268,20150.374884023287,20,2,27,10386.670665748241,7510.894762784018
2020-11-11,446870.7360945543,225792.1242057234,200352.76373339372,20725.848155437143,20,2,27,10386.670665748241,7510.894762784018
2020-11-12,446513.9701059575,236336.65096029593,189408.24931700202,20769.069828659533,19,2,28,10400.283834612554,7783.158140070279
2020-11-13,446761.60032080475,247247.9667465596,178850.06692141682,20663.566652828362,18,2,29,10415.99815632734,8081.730252651203
2020-11-14,448777.92341673176,246536.85563544848,180222.78735459605,22018.280426687183,18,2,29,10415.99815632734,8081.730252651203
2020-11-17,447428.3034210839,257363.227652018,168515.60794431428,21549.46782475162,17,2,30,10431.000362024752,8351.769955204609
2020-11-18,445452.7162640749,257363.227652018,167014.10725541788,21075.38135663901,17,2,30,10431.000362024752,8351.769955204609
2020-11-19,444411.85503008,257363.227652018,166168.45191757433,20880.175460487648,17,2,30,10431.000362024752,8351.769955204609
2020-11-20,445810.11730156245,257363.227652018,167247.0333493746,21199.856300169813,17,2,30,10431.000362024752,8351.769955204609
2020-11-23,448551.52066062886,267928.2619304776,159238.7040348758,21384.554695275485,16,2,31,10447.619017273562,8634.287094434403
2020-11-24,448896.9079717275,278573.49287882366,149139.55427868007,21183.860814223746,15,2,32,10463.650043040567,8890.783506706477
2020-11-25,447717.20261842874,267351.32431726455,158873.8624281693,21492.015872994914,16,2,32,10463.650043040567,8890.783506706477
2020-11-26,448660.2499702936,267351.32431726455,159833.9515478227,21474.974105206333,16,2,32,10463.650043040567,8890.783506706477
2020-11-27,447173.93798833597,278169.79422951135,147796.72894722625,21207.414811598355,15,2,33,10480.717156156423,9163.857316560181
2020-12-01,449657.18618410756,278169.79422951135,149714.8375001499,21772.554454446312,15,2,33,10480.717156156423,9163.857316560181
2020-12-02,451720.7230482837,299637.7626651786,130029.80123474154,22053.1591483636,13,2,35,10520.351330903053,9740.755753842908
2020-12-03,452729.3879758095,321247.29861365014,109270.0570394106,22212.03232274881,11,2,37,10567.037442425017,10326.618367889492
2020-12-04,453676.215399552,321247.29861365014,109938.71238970953,22490.204396192326,11,2,37,10567.037442425017,10326.618367889492
2020-12-07,455706.2007525855,342490.2772123351,90290.1995059004,22925.724034350038,9,2,39,10621.910585231757,10896.967612601868
2020-12-08,455300.3012124276,353321.27852892387,79313.89390593892,22665.128777564794,8,2,40,10650.623349425476,11155.382490345335
2020-12-09,456332.8008505786,353321.27852892387,80217.39903820191,22794.123283452842,8,2,40,10650.623349425476,11155.382490345335
2020-12-10,455674.7961410789,353321.27852892387,79389.98828681525,22963.52932533984,8,2,40,10650.623349425476,11155.382490345335
2020-12-11,455150.60023458855,353159.5202744116,79101.27418281136,22889.80577736557,8,2,41,10683.214355753022,11416.110540965705
2020-12-14,455598.7423951501,363483.3401888823,68263.24434611794,23852.157860149888,7,2,42,10721.882380124815,11725.45473594005
2020-12-15,455729.8067539487,363483.3401888823,68581.10489837163,23665.361666694756,7,2,42,10721.882380124815,11725.45473594005
2020-12-16,456535.4749324169,363483.3401888823,69073.31573825111,23978.819005283513,7,2,42,10721.882380124815,11725.45473594005
2020-12-17,456247.05829437944,363483.3401888823,68942.81620534958,23820.901900147543,7,2,42,10721.882380124815,11725.45473594005
2020-12-18,456319.8671100832,374335.7917756376,58317.31532859704,23666.760005848617,6,2,43,10760.330953385776,11994.594748766773
2020-12-21,452722.43554757803,363575.4608222518,66771.35065814688,22375.624067179335,7,2,43,10760.330953385776,11994.594748766773
2020-12-22,453941.3181181385,352815.129868866,78369.58935544718,22756.598893825332,8,2,43,10760.330953385776,11994.594748766773
2020-12-23,455066.6950277828,342054.7989154802,90034.37376101085,22977.522351291722,9,2,43,10760.330953385776,11994.594748766773
2020-12-24,456269.66775191255,353374.53367780306,79580.63778852607,23314.49628558343,8,2,44,10791.408942771168,12274.29665323531
2020-12-28,457310.54772624915,341774.0383152788,91148.3603954523,24388.149015518044,9,2,44,10791.408942771168,12274.29665323531
2020-12-29,457621.83054244926,341774.0383152788,91534.79180327021,24313.000423900172,9,2,44,10791.408942771168,12274.29665323531
2020-12-30,458356.4825137205,341774.0383152788,92330.65973679641,24251.78446164529,9,2,44,10791.408942771168,12274.29665323531
2020-12-31,457989.0241158665,330982.6293725077,102969.73741066341,24036.657332695453,10,2,44,10791.408942771168,12274.29665323531
2021-01-01,458580.2671881553,330982.6293725077,103396.41211374015,24201.225701907475,10,2,44,10791.408942771168,12274.29665323531
2021-01-04,459984.93525092356,342797.71779187204,92517.63975116382,24669.577707887707,9,2,46,10856.288939828864,12888.21267826255
2021-01-05,459331.67816083063,343215.38595883653,91629.72834591902,24486.56385607508,9,2,47,10884.674125947817,13143.679353333115
2021-01-06,459307.5519476412,332330.7118328887,102355.91269656761,24620.927418184852,10,2,47,10884.674125947817,13143.679353333115
2021-01-07,460928.1202611815,332330.7118328887,103323.34835186612,25274.060076426675,10,2,47,10884.674125947817,13143.679353333115
2021-01-08,463117.21641532215,343377.7357168019,94339.61467942648,25399.86601909375,9,2,49,10949.905814868971,13761.978726031302
2021-01-11,463206.74250864034,343377.7357168019,94206.95192039141,25622.054871447057,9,2,49,10949.905814868971,13761.978726031302
2021-01-12,464975.92807925015,355049.55024166906,83814.08410278782,26112.293734793275,8,2,50,10993.635837031157,14155.54892549098
2021-01-13,465852.9289979379,353810.43121989904,84516.16716792095,27526.330610117875,8,2,51,11031.20938603211,14456.137317498593
2021-01-14,467510.45371331804,342779.2218338669,96653.12251556487,28078.10936388624,9,2,51,11031.20938603211,14456.137317498593
2021-01-15,466835.97025957296,343327.60178943677,95281.38353823074,28226.984931905485,9,2,52,11068.249593486991,14789.499184592538
2021-01-18,465565.43144400953,343425.2054173788,94472.80398372392,27667.422042906837,9,2,53,11123.148840811626,15283.59241051424
2021-01-19,467948.6585493621,343425.2054173788,96595.26737394113,27928.18575804212,9,2,53,11123.148840811626,15283.59241051424
2021-01-20,468087.2737482372,343425.2054173788,96624.93699092034,28037.13133993801,9,2,53,11123.148840811626,15283.59241051424
2021-01-21,467799.367968362,343425.2054173788,96890.35795689706,27483.804594086134,9,2,53,11123.148840811626,15283.59241051424
2021-01-22,465691.8832554726,332302.0565765672,106430.35754050704,26959.46913839836,10,2,53,11123.148840811626,15283.59241051424
2021-01-25,464485.10103953804,321178.90773575555,116539.23684121668,26766.956462565824,11,2,53,11123.148840811626,15283.59241051424
2021-01-27,462708.3347570665,309192.7333805406,126357.96366456099,27157.637711964904,12,2,53,11123.148840811626,15283.59241051424
2021-01-28,462035.4474460771,298069.584539729,136681.91500127473,27283.947905073328,13,2,53,11123.148840811626,15283.59241051424
2021-01-29,459251.2843771688,286946.43569891737,145503.7788262284,26801.06985202303,14,2,53,11123.148840811626,15283.59241051424
2021-02-01,464883.64938902104,287512.45155518834,149577.6709042556,27793.526929577136,14,2,54,11152.94478789069,15700.735669621157
2021-02-02,468207.0395336819,288406.8253796957,150970.40250288977,28829.811651096374,14,2,55,11187.173297949445,16179.934810443716
2021-02-03,470850.2855629483,288856.6886988227,152680.55322470536,29313.04363942032,14,2,56,11209.61134354368,16494.067448763002
2021-02-04,472061.2367526492,289696.0931246956,153147.4275420603,29217.716085893313,14,2,57,11241.531435079502,16940.948730264503
2021-02-05,471953.9309605555,301735.2969527034,141638.78970342307,28579.844304429083,13,2,59,11283.592400659367,17506.64762744877
2021-02-08,473366.9005769925,325258.1592073521,118932.09918522809,29176.64218441226,11,2,61,11331.30450104688,18101.698662595445
2021-02-09,473969.6517568025,325258.1592073521,119511.6484014658,29199.84414798465,11,2,61,11331.30450104688,18101.698662595445
2021-02-10,473769.2947031626,325258.1592073521,119664.00724794819,28847.12824786234,11,2,61,11331.30450104688,18101.698662595445
2021-02-11,474862.2946619685,325258.1592073521,120339.05532202708,29265.080132589315,11,2,61,11331.30450104688,18101.698662595445
2021-02-12,473531.26464299776,324395.1336929488,119453.2018463372,29682.92910371181,11,2,61,11331.30450104688,18101.698662595445
2021-02-15,472976.5896225027,313063.8291919019,130000.49704705119,29912.263383549576,12,2,61,11331.30450104688,18101.698662595445
2021-02-16,472718.23040164827,313063.8291919019,129770.96127487403,29883.439934872324,12,2,61,11331.30450104688,18101.698662595445
